id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1278113821744336896,1278111590085283841,2020-06-30 23:50:55 UTC,2020-06-30,23:50:55,+0000,1242214499681271812,oficialalc,Aloisio Lima 🇧🇷,,"Todavia, um relatório do Ministério da Saúde acerca das estatísticas do SUS revela um dado assustador e intrigante. Do montante gastos no SUS relacionados às drogas (lícitas e ilícitas), 87,90% são por bebida alcoólica, sendo o restante dos atendimentos constante a rubrica: [...]",pt,[],[],[],1,0,0,[],[],https://twitter.com/oficialalc/status/1278113821744336896,,,0,,,,,,,,"{'user_id': '1242214499681271812', 'username': 'oficialalc'}",,,,
1278113545763332098,1277663185613578244,2020-06-30 23:49:50 UTC,2020-06-30,23:49:50,+0000,230270346,alirioassuncao,alírio,,"@profnelsontitan Saúde e educação é um direito de todos! E as propostas que os donos de plano de saúde não são de limitação, mas de erradicar o sus.",pt,['profnelsontitan'],[],[],1,0,0,[],[],https://twitter.com/alirioassuncao/status/1278113545763332098,,,0,,,,,,,,"{'user_id': '742202426896306176', 'username': 'profnelsontitan'}",,,,
1278113247493849088,1278097947868233730,2020-06-30 23:48:39 UTC,2020-06-30,23:48:39,+0000,4473075855,stephanolunar,stephanococcus,,"@guilhermevaz2 Precisamos de pessoas como vc na Universidade e no SUS. Pra contribuir no nosso fazer pra Universidade e a Saúde no Brasil avançarem até o nosso horizonte mais sonhado.
Força, companheiro. A luta é árdua, mas compensa.",pt,['guilhermevaz2'],[],[],0,0,2,[],[],https://twitter.com/stephanolunar/status/1278113247493849088,,,0,,,,,,,,"{'user_id': '313536393', 'username': 'guilhermevaz2'}",,,,
1278112443982643202,1278097947868233730,2020-06-30 23:45:27 UTC,2020-06-30,23:45:27,+0000,2778541711,mrpedrorcc,Barra pesada online,,"@guilhermevaz2 C faz medicina, camarada. Ânimo, vc vai sair com emprego, sendo um instrumento da saúde popular e lutando pelo SUS.",pt,['guilhermevaz2'],[],[],1,0,2,[],[],https://twitter.com/MrPedrorcc/status/1278112443982643202,,,0,,,,,,,,"{'user_id': '313536393', 'username': 'guilhermevaz2'}",,,,
1278110472756252684,1278097238741471234,2020-06-30 23:37:37 UTC,2020-06-30,23:37:37,+0000,2657536956,janiaapaula4,Jânia Paula #MacunaimaNoruegaPixar🐇,,"@glock1one @em_com @alexandrekalil Particularmente, acho que foi precipitado o isolamento coletivo. Havia outras formas de controle de exposição para preservação da rede de saúde. Porém, a estrutura de conveniados e parceiros do SUS já existe, ele só tem que reorganizar o acesso. Logo, não há muito o que pensar.",pt,"['glock1one', 'em_com', 'alexandrekalil']",[],[],0,0,0,[],[],https://twitter.com/Janiaapaula4/status/1278110472756252684,,,0,,,,,,,,"{'user_id': '188110710', 'username': 'glock1one'}",,,,
1278108682589536257,1277978242649997312,2020-06-30 23:30:30 UTC,2020-06-30,23:30:30,+0000,1112818534021849094,taeko33288058,Jac_Jan 🚩,,@bira_cr Pelo Sus só faz se estiver com sintomas e mesma assim leva uns dias. Algumas colegas dela q trabalham na clínica vão tentar na Unidade de Saúde. Mesmo elas sendo dentistas não conseguem mais rápido. Tem muita gente nessa situação.,pt,['bira_cr'],[],[],1,0,0,[],[],https://twitter.com/Taeko33288058/status/1278108682589536257,,,0,,,,,,,,"{'user_id': '1226865322977828864', 'username': 'bira_cr'}",,,,
1278108118250139648,1278045985067974661,2020-06-30 23:28:16 UTC,2020-06-30,23:28:16,+0000,953628160310038535,itspondeigor,PrincesA$$,,"@denisdiasz N amor, quando falo de Equipe de Saúde da Família é um ""posto"" que atende as circunstâncias que disse acima. Uma família ter um ""médico"" particular não é saúde da família (Pro SUS) kkkkkkkkkk
(Se n tiver entendido só ignora kkk)",pt,['denisdiasz'],[],[],2,0,0,[],[],https://twitter.com/itspondeigor/status/1278108118250139648,,,0,,,,,,,,"{'user_id': '1178151005172764672', 'username': 'denisdiasz'}",,,,
1278108077263392769,1278106680069324800,2020-06-30 23:28:06 UTC,2020-06-30,23:28:06,+0000,1137981144,fernandonemoto,oƚomɘИ obnɒnɿɘᖷ 🇧🇷🇯🇵🚜,,"@augustodeAB No 1⁰ lote não haverá brigas, virá para os privilegiados mais ricos, depois para nós os privilegiados que tem plano de saúde, bagunça será quando chegar no SUS",pt,['augustodeab'],[],[],0,0,0,[],[],https://twitter.com/FernandoNemoto/status/1278108077263392769,,,0,,,,,,,,"{'user_id': '14171352', 'username': 'augustodeAB'}",,,,
1278107660240457734,1278107660240457734,2020-06-30 23:26:26 UTC,2020-06-30,23:26:26,+0000,85121212,joao_sambora,"João Flores, o Bardo 🧙‍♂️ em 🏠",,"Queria saber qual a homenagem o SUS vai receber numa eventual volta do futebol brasileiro. A Premier League tem homenagem todas as rodadas e nas camisas dos times. Seria bacana, embora utópico, os clubes valorizarem a saúde pública brasileira.",pt,[],[],[],0,0,2,[],[],https://twitter.com/joao_sambora/status/1278107660240457734,,,0,,,,,,,,"{'user_id': None, 'username': None}",,,,
1278107043405185024,1278107043405185024,2020-06-30 23:23:59 UTC,2020-06-30,23:23:59,+0000,55355177,tia_tsuko,Lee Yama - A Lhama que lhe ama!,,"Eu acho uma graça esse povo que defende a descriminalização das drogas, sob o argumento de que ""as drogas devem deixar de ser um problema 'criminal' e passar a ser vistas como 'problema de saúde pública'""...

Sério mesmo, criança? Pra ser tratado onde? No SUS, q tá saturado?",pt,[],[],[],1,0,0,[],[],https://twitter.com/Tia_Tsuko/status/1278107043405185024,,,0,,,,,,,,"{'user_id': None, 'username': None}",,,,
1278105925002371077,1278071177064349701,2020-06-30 23:19:33 UTC,2020-06-30,23:19:33,+0000,784851004512727041,yuribpffc,Yuri,,@rasta_vinicin Auxílio saúde é o SUS,pt,['rasta_vinicin'],[],[],1,0,0,[],[],https://twitter.com/yuribpffc/status/1278105925002371077,,,0,,,,,,,,"{'user_id': '4410502341', 'username': 'rasta_vinicin'}",,,,
1278104938191740933,1278104938191740933,2020-06-30 23:15:37 UTC,2020-06-30,23:15:37,+0000,1017169014949281800,amigonalou,Lou,,"gente pagar estágio EAD em saúde é o cumulo do absurdo e ainda tenho que fazer um trabalho sobre sus 

a professora q me aguarda o trabalho vai ser na base do ódio, literalmente",pt,[],[],[],0,0,3,[],[],https://twitter.com/amigonalou/status/1278104938191740933,,,0,,,,,,,,"{'user_id': None, 'username': None}",,,,
1278103269378842625,1278103269378842625,2020-06-30 23:09:00 UTC,2020-06-30,23:09:00,+0000,889680302,carlosh_villa,Carlos Villa,,@murillodearagao Perguntas para a entrevista de Paulo Uebel:  Alguma previsão de prontuario digital nacional para o SUS?? Governo Digital na Saúde? @paulouebel,pt,"['murillodearagao', 'paulouebel']",[],[],0,0,0,[],[],https://twitter.com/carlosh_villa/status/1278103269378842625,,,0,,,,,,,,"{'user_id': '52180602', 'username': 'murillodearagao'}",,,,
1278102317984858112,1277991041581318144,2020-06-30 23:05:13 UTC,2020-06-30,23:05:13,+0000,3006062290,paulojsamaral,Paulo Amaral,,"@qgdatecnologia2 Levando em consideração o índice de desemprego, teremos poucas pessoas que terão assistência por plano de saúde. Desta forma, a Assistencia será pelo SUS.",pt,['qgdatecnologia2'],[],[],1,0,0,[],[],https://twitter.com/PauloJSAmaral/status/1278102317984858112,,,0,,,,,,,,"{'user_id': '3006062290', 'username': 'PauloJSAmaral'}",,,,
1278099371473715200,1278096799660675078,2020-06-30 22:53:30 UTC,2020-06-30,22:53:30,+0000,875034943465848833,niellpinheiro,Daniel Pinheiro,,"@PriscilaFCruz Pelas suas duas e mais saúde, SUS.",pt,['priscilafcruz'],[],[],0,0,1,[],[],https://twitter.com/Niellpinheiro/status/1278099371473715200,,,0,,,,,,,,"{'user_id': '64411215', 'username': 'PriscilaFCruz'}",,,,
1278099158117814284,1278099158117814284,2020-06-30 22:52:39 UTC,2020-06-30,22:52:39,+0000,556372397,maisterfreitas,Maister F. da Silva,,"O agente de saúde, com toda a infraestrutura de trabalho necessária à disposição, torna-se tão ou mais importante que o médico na estrutura do SUS. Se ao menos isso fosse entendido...",pt,[],[],[],1,0,3,[],[],https://twitter.com/Maisterfreitas/status/1278099158117814284,,,0,,,,,,,,"{'user_id': None, 'username': None}",,,,
1278098820879003653,1278098820879003653,2020-06-30 22:51:19 UTC,2020-06-30,22:51:19,+0000,1268248086477971456,drlucianogibran,Dr. Luciano Gibran,,"Segundo o Ministério da Saúde, cerca de 70% da #população brasileira depende do SUS (Sistema Único de Saúde) porém existem pouquíssimos centros de referência de #endometriose em hospitais públicos.",pt,[],[],[],0,0,1,"['população', 'endometriose']",[],https://twitter.com/drlucianogibran/status/1278098820879003653,,,0,,,,,,,,"{'user_id': None, 'username': None}",,,,
1278095908111093760,1245388805160476672,2020-06-30 22:39:45 UTC,2020-06-30,22:39:45,+0000,4747387007,brunomouravr,Bruno Moura,,"@AbrahamWeint E o numero de atendimentos de casos de depressão, surtos agudos e até tentativa de suicídio por isolamento social e falta de contato aumentou muito nas unidades de emergências do SUS inclusive nos centros de triagem de covid-19. Altere esse paragrafo colocando saude mental!",pt,['abrahamweint'],[],[],0,0,0,[],[],https://twitter.com/brunomouravr/status/1278095908111093760,,,0,,,,,,,,"{'user_id': '1120399498692497408', 'username': 'AbrahamWeint'}",,,,
1278093547393163264,1245388805160476672,2020-06-30 22:30:22 UTC,2020-06-30,22:30:22,+0000,4747387007,brunomouravr,Bruno Moura,,"@AbrahamWeint E o numero de atendimentos de casos de depressão, surtos agudos e até tentativa de suicídio por isolamento social e falta de contato aumentou muito nas unidades de emergências do SUS inclusive nos centros de triagem de covid-19. Altere esse paragrafo colocando saude mental! 🙏🙏",pt,['abrahamweint'],[],[],0,0,0,[],[],https://twitter.com/brunomouravr/status/1278093547393163264,,,0,,,,,,,,"{'user_id': '1120399498692497408', 'username': 'AbrahamWeint'}",,,,
1278091017728724994,1278077748225998849,2020-06-30 22:20:19 UTC,2020-06-30,22:20:19,+0000,1346710556,lgormedeiros,Igor,,"@jehsilvano Melhoras pra ele, Jessica♥️
 Minha avó está internada pelo SUS e o empenho dos profissionais de saúde para ajudá-la é inigualável, cara. Tem que ser muito sórdido para não defender o SUS.",pt,['jehsilvano'],[],[],1,0,2,[],[],https://twitter.com/lgormedeiros/status/1278091017728724994,,,0,,,,,,,,"{'user_id': '58566925', 'username': 'jehsilvano'}",,,,
1278085161075331076,1278085161075331076,2020-06-30 21:57:02 UTC,2020-06-30,21:57:02,+0000,289318056,zerobertolula,Zé Roberto Lula,,"Hoje vou participar de uma live, às 19hrs, sobre o SUS e a saúde do trabalhador em Aragominas. Vamos participar desse debate de extrema importância. 

Link da transmissão 👇
https://t.co/t1RlAJRNuf",pt,[],['https://www.facebook.com/ZeRobertoLula/posts/3868171346542809'],[],0,0,0,[],[],https://twitter.com/ZeRobertoLula/status/1278085161075331076,,,0,,,,,,,,"{'user_id': None, 'username': None}",,,,
1278084886696509443,1278084886696509443,2020-06-30 21:55:57 UTC,2020-06-30,21:55:57,+0000,321738822,jmnoticia,JM Notícia,,Em prestação de contas da Saúde Vereador Erivelton defende o SUS e reclama da falta de testagem para Covid-19 https://t.co/gNRAXuljel,pt,[],['https://www.jmnoticia.com.br/2020/06/30/em-prestacao-de-contas-da-saude-vereador-erivelton-defende-o-sus-e-reclama-da-falta-de-testagem-para-covid-19/'],[],0,0,0,[],[],https://twitter.com/jmnoticia/status/1278084886696509443,,,0,,,,,,,,"{'user_id': None, 'username': None}",,,,
